Country Name,countryID,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3338.212104,3740.129937,4215.422718,4510.028855,4520.456378,4525.765741,4527.378165,4597.491761,4639.559775,4936.756375,5516.142414,5746.628588,5964.570004,6479.777791,6791.957312,7008.805746,7361.074138,7444.302526,7636.841357,7558.047851,7715.950318,7855.698287,8121.152942,8179.049883,8416.605121,8584.225635,8461.535653,
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26210.9109,26261.12594,27038.87672,28362.56613,28938.43927,30621.69158,31787.7791,33613.37247,35044.95134,36579.56343,40535.20826,43976.09251,43706.03474,45797.32036,47835.43923,49877.28411,53949.42371,56640.989,58288.61209,55320.16171,55254.21412,54984.51039,53097.69629,52436.05641,,,,
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2396.114967,2555.468852,2604.906379,2726.410165,2857.413418,2993.810949,3119.282353,3264.947037,3399.254386,3399.734927,3497.279475,3570.056761,3647.571245,3753.050849,3946.708576,4180.318235,4438.62465,4684.94245,4986.880533,5108.873594,5298.084512,5598.508445,5899.641861,6303.06642,6649.637614,6955.18277,7234.195243,
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6686.080484,6891.975129,6898.704053,7271.504752,7696.410286,8072.954612,8268.48537,8558.930424,8547.154583,8588.01964,9012.764018,9216.765175,9515.492394,9690.57941,10401.94138,10951.27478,11604.86355,12503.60928,13262.80054,13215.42568,14244.97879,14973.09847,15396.62234,15968.29208,16160.3711,15617.32128,15123.85001,
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9218.224174,9122.010273,8767.638936,9016.930135,9360.053895,9713.870065,10245.5033,10873.80893,11360.19285,11529.80148,12275.0545,12219.62878,12468.84286,12956.38158,13458.74516,14394.21876,15618.75415,16251.66712,16565.95741,15951.04277,16124.99483,16472.0832,16763.8855,16980.44401,17200.74792,17527.83285,18064.60443,
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54726.56428,56686.65688,59033.17092,58946.12817,60426.84584,62787.25312,64153.18205,62779.1078,61685.8076,63143.47609,65034.83466,66960.52082,69246.74818,71337.23521,72411.57528,73873.29024,78398.18966,79616.87031,78682.98083,76964.31777,78923.39047,82434.88309,83504.30252,81827.27346,79996.83808,79439.06245,77420.61217,
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502.880658,1546.558798,1672.518169,1774.393014,1926.237625,2112.168359,2251.159143,2369.510712,2474.173708,2637.73006,2804.932757,3019.00093,3300.162931,3524.926753,3734.48887,4026.341876,4331.461906,5131.410377,5372.132429,5664.127805,6289.814364,6805.878456,7162.293474,7317.337414,7744.725501,8245.605306,8900.764553,
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5242.045649,5661.045988,5798.94175,5893.362079,6082.781637,6491.728103,6843.108552,7364.741434,7354.748122,8043.512799,8251.81945,8332.796627,8848.104378,9314.395718,9695.193429,10313.61119,11346.04949,12413.28568,13226.60649,12098.79299,13064.46624,13889.27047,14506.88523,16111.10915,16731.96523,16352.5457,16956.72477,
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.5494938,603.793268,562.7305148,562.5304131,586.708614,625.7733502,596.9218812,624.504666,646.2408094,665.1218225,649.4590457,679.9349442,701.5357944,664.3150585,710.410967,726.8663666,771.1467414,813.8053894,833.2529641,842.5222241,870.0440809,911.6559469,963.5640139,618.5146823,632.690497,667.0426652,698.7066557,
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20107.83069,20060.67282,20446.6282,21255.05357,22465.80305,23354.27219,23904.84893,25087.99726,26117.61173,27656.67692,29185.35506,30073.91281,30851.31148,32189.0616,33754.86956,36134.60224,38009.876,39441.96779,40277.61931,38791.07469,40027.24021,41565.27122,42145.09786,44101.47145,45358.24757,44452.2499,44644.16959,
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6885.872378,6457.504385,6505.131845,6763.96022,7197.699892,7781.620288,8288.873828,8682.475551,9069.928915,9378.999272,10010.28849,10792.95499,11601.09294,12341.22964,13466.76997,14294.24258,15888.607,17649.115,19529.47848,19514.62295,20752.13604,22167.70676,22954.94512,23970.5596,24949.27382,25830.73692,26850.50448,
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27609.04592,27915.66969,28226.59936,28600.11989,29344.79013,29900.40792,30535.45414,31797.87463,32891.72251,33814.07929,35748.87697,36808.63938,37718.30413,37710.7989,39184.01884,40572.26318,45112.27867,49737.76099,52584.73495,51759.75274,53119.38653,56183.83259,57849.58399,60108.51635,61902.16241,63648.28802,63888.73239,
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4507.114744,4947.36936,5621.10987,6123.751123,6578.460882,7366.063872,8028.911405,8655.296674,9009.317211,8995.18119,9571.978941,9994.170918,10343.22738,10858.80143,11831.31005,12774.73122,15773.82302,16971.76671,16551.30715,16226.20693,18265.34253,20437.70453,21620.28097,22578.72892,23014.01059,22647.46182,23193.97411,
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.5683762,1099.052228,1268.27162,1461.610346,1668.580642,1869.46632,2070.771609,2277.206851,2458.630661,2664.485031,2933.314817,3226.848456,3551.663652,3961.273893,4455.205022,5092.559837,5883.719377,6863.981755,7635.072611,8374.432271,9333.124237,10384.3666,11351.06206,12367.96501,13413.86583,14450.09499,15529.08411,
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.231664,2059.565221,2029.043053,2003.354584,1995.08861,2113.226157,2247.873782,2302.720142,2375.04656,2387.908452,2336.356921,2342.854996,2295.191399,2268.272292,2317.614362,2388.432195,2450.596778,2508.373899,2567.190743,2612.063869,2635.837771,2511.420195,2762.341426,2980.26506,3211.399958,3451.877418,3693.436909,
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.243722,1884.808704,1815.595266,1664.413432,1689.488753,1737.992873,1799.902923,1878.477688,1935.422721,1998.693492,2063.823523,2147.154828,2214.148948,2300.104376,2457.351516,2519.090011,2614.410426,2739.672885,2812.645055,2817.987654,2870.562687,2969.047575,3076.858139,3208.268326,3360.510092,3502.407887,3609.375597,
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.6003304,754.7824826,664.4488734,566.0870712,535.7202785,533.2182533,522.6361409,489.5926991,475.8974951,451.884304,419.4639136,408.5744004,414.7227733,433.0794753,460.2476414,488.3880869,513.3796909,542.0617287,568.0834779,569.5350063,597.0769873,629.8563888,664.8017801,708.9596215,762.9998565,799.1779345,802.2528421,
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3322.420799,3420.883123,3493.757136,3446.261338,3235.869097,3340.817519,3449.224934,3388.369355,3452.939885,3319.547701,3551.092649,3667.708329,3790.194842,3791.129803,3915.740808,4223.074355,4474.880108,4369.052287,4543.924889,4760.444498,5081.432145,5213.946921,5368.26569,5502.482873,5822.458645,5902.429651,5717.290371,
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4869.161847,5050.71983,5327.885503,5485.499566,5827.996962,6155.688861,6294.865499,6520.036666,6528.900174,6256.810181,6585.334138,6750.687139,6927.321253,7241.331258,7732.319476,8248.355342,8957.341118,9710.917596,10132.26566,10260.22668,10680.00301,11496.47771,12058.34376,12725.04373,13368.99359,13827.67279,14153.92793,
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.101551,981.587493,1058.214107,1084.099189,1019.249047,1048.324974,1025.139004,1055.910868,1052.886277,1061.830321,1173.817526,1198.671086,1215.644913,1236.16601,1264.156135,1310.265382,1353.519441,1367.48884,1366.64755,1370.466884,1383.929694,1414.611723,1448.427686,1487.110507,1505.633406,1504.716581,1521.857218,
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.914065,1096.280989,1212.194964,1312.82756,1555.217002,1766.821713,1954.752575,2158.376948,2401.089992,2654.420379,3039.919351,3116.711016,3268.913606,3412.642078,3801.929908,4134.497584,4542.140553,5308.134174,5710.16342,5620.539317,5710.344252,5991.77849,6097.221556,6171.857986,6232.640609,6302.494396,6551.318948,
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5033.099942,5200.582319,5662.423511,6052.796712,6299.321696,6533.191429,6574.133648,6893.93397,7286.41498,7527.111623,7829.812962,8139.810103,8397.302536,8793.383147,9289.503317,9817.001194,10697.46354,11714.21471,12329.93006,12141.93498,12737.02018,13397.23054,14133.68818,14524.6715,15131.14296,15881.60847,16609.73935,
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5874.195508,6156.936225,6259.441106,6539.545527,6797.430519,7090.410603,7402.675536,7713.359774,7958.954904,8349.537916,8790.002033,9128.057234,9582.027791,10376.75811,11078.9292,11787.28091,12958.32137,13673.62549,14093.70431,13622.33005,13919.30517,14274.87214,14625.23403,15030.95901,15235.32808,15342.87217,15370.6349,
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49903.02854,,,,,,
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13178.99547,13367.81103,14565.05769,14657.70948,15528.34226,16885.67593,17099.70212,17857.16486,18935.01498,19881.05514,21709.15509,23263.4339,23964.75544,24300.46323,26082.75964,28169.55688,30482.60764,32993.28227,34823.65424,33882.09647,33263.01583,33192.59298,31914.62435,30620.70715,30383.51482,31523.92688,32707.87289,
Czech Republic,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12666.46265,11595.70126,11787.89671,12063.28595,12673.85757,13751.5599,14580.27406,14723.83415,14894.23354,15324.10643,16188.22719,17569.10583,18189.23435,19424.75471,20806.60891,21956.38386,23779.57372,26120.37508,27844.79533,27594.34686,27694.40198,28797.41796,29047.24644,30485.71415,32263.31575,33468.7265,34749.21236,
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19433.15745,20952.52849,21676.96666,21836.50432,22770.12626,23579.54937,24104.35073,24633.18915,25371.86469,26360.14719,27293.76756,28499.60608,29326.91207,29987.9125,31428.63064,31968.46745,34246.20765,36444.51569,38028.77214,37035.78003,39225.59999,42692.51976,43564.14802,45232.19785,47092.48837,47810.83601,48860.52529,
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.711854,1929.094296,1946.381851,1850.405301,1860.426703,1809.653545,1730.362932,1701.204966,1671.655631,1685.948862,1689.299473,1726.776895,1766.622289,1829.128163,1920.612134,2012.599574,2138.631747,2269.907481,2408.405623,2506.467964,2581.41661,2705.405589,2838.674473,2976.37808,3150.848394,3342.900766,,
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4349.836138,4527.307032,4716.789865,4893.638792,5057.739256,5265.555455,5520.574824,5730.343449,6120.944466,6291.719466,6480.082774,6659.687044,6628.721954,7252.686081,7663.051704,7874.891975,8333.388918,9077.608209,9897.450603,9834.512546,9991.976426,10135.27417,10164.9586,10215.87885,10781.8716,10586.77029,10947.71519,
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18225.01898,19044.60268,19794.3714,20200.07975,21656.78651,22659.48475,23705.88473,24914.31564,25792.58109,26653.82934,28657.54079,29474.13815,30640.34504,30784.13522,32920.47703,34150.1558,37300.49284,38961.77061,41278.32884,40332.45142,43041.54202,44403.39415,44803.96224,46726.85332,47901.44758,48674.84075,49029.01484,
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3404.302171,3482.008821,3860.476527,4158.219641,4265.184609,4512.229931,4838.463092,5227.705497,5564.321986,5933.917111,6312.259929,6471.263553,6844.55691,6858.159489,7033.127197,7816.303418,8788.881934,9671.431005,10038.05233,10072.80198,10898.51719,11320.90306,11702.34609,12302.17342,13288.1698,14238.86152,15204.93246,
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6616.408352,6591.301496,6704.650988,6573.667135,6518.02653,6777.297778,7060.095524,7144.432581,7477.971309,7725.883722,8093.530893,8416.752682,8911.68068,9621.160947,10176.67563,10971.84687,11332.7899,11843.71921,12162.26435,12242.17814,12610.24805,12990.34502,13404.41178,13715.74358,14175.77223,14614.97043,15013.29638,
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436.782259,1575.098487,1751.946584,1954.58433,2175.93145,2403.293885,2629.924132,2821.019658,2844.206051,3024.681588,3288.21335,3548.131465,3844.437712,4219.416213,4675.625071,5238.980066,5916.780236,6747.760593,7387.386023,7935.731354,8740.63201,9588.01792,10415.66029,11253.64169,12105.82496,12954.55391,13839.96864,
